"AnalyseVideo: Temps (s)";"AnalyseVidéo: X (m)";"AnalyseVideo: Y (m)"
0,76;0,00865710739046;1,98247759242
0,8;0,106770991149;1,97093478256
0,84;0,204884874908;1,94496346039
0,88;0,302998758666;1,89590651851
0,92;0,398226939961;1,83530676678
0,96;0,493455121256;1,7545070978
1;0,588683302551;1,66216461897
1,04;0,675254376456;1,55827933028
1,08;0,767596855287;1,43707982682
1,12;0,857053631656;1,29568040611
1,16;0,946510408024;1,15139528293
1,2;1,03019577946;0,984024540049
1,24;1,11676685337;0,807996689776
1,28;1,19756652235;0,605997517332
1,32;1,27836619132;0,403998344888
1,36;1,36205156277;0,187570660127
